,Lemma,Word list,Total F,Coverage,Cumulative,Unnamed: 5,67205779
262,person,1 - NGSL,24758,0.00036826319177418016,0.7646271266009333,,
263,news,1 - NGSL,24687,0.0003672071013542768,0.7649943337022876,,
264,public,1 - NGSL,24642,0.00036653774827123946,0.7653608714505589,,
265,war,1 - NGSL,24639,0.00036649312473237034,0.7657273645752912,,
266,win,1 - NGSL,24545,0.00036509492051447015,0.7660924594958057,,
267,while,1 - NGSL,24536,0.00036496104989786266,0.7664574205457036,,
268,everything,1 - NGSL,24519,0.0003647081831776041,0.7668221287288812,,
269,lose,1 - NGSL,24479,0.0003641132026593487,0.7671862419315406,,
270,political,1 - NGSL,24466,0.0003639198339909157,0.7675501617655315,,
271,under,1 - NGSL,24463,0.00036387521045204657,0.7679140369759835,,
272,reason,1 - NGSL,24395,0.0003628637435710124,0.7682769007195545,,
273,second,1 - NGSL,24394,0.000362848869058056,0.7686397495886125,,
274,spend,1 - NGSL,24311,0.00036161428448267603,0.7690013638730951,,
275,young,1 - NGSL,24283,0.00036119779811989727,0.7693625616712151,,
276,half,1 - NGSL,24045,0.0003576576640362776,0.7697202193352514,,
277,open,1 - NGSL,23909,0.0003556347302742093,0.7700758540655256,,
278,car,1 - NGSL,23867,0.0003550100007300411,0.7704308640662556,,
279,care,1 - NGSL,23713,0.0003527193257347578,0.7707835833919904,,
280,percent,1 - NGSL,23644,0.00035169298434076723,0.7711352763763312,,
281,support,1 - NGSL,23459,0.00034894119944383603,0.771484217575775,,
282,sit,1 - NGSL,23350,0.00034731987753159005,0.7718315374533066,,
283,each,1 - NGSL,23278,0.0003462489125987303,0.7721777863659053,,
284,together,1 - NGSL,23249,0.00034581755172299514,0.7725236039176283,,
285,certainly,1 - NGSL,23193,0.0003449845789974376,0.7728685884966258,,
286,such,1 - NGSL,23085,0.000343378131598148,0.7732119666282239,,
287,black,1 - NGSL,22998,0.0003420840489709425,0.7735540506771948,,
288,city,1 - NGSL,22757,0.00033849929134845374,0.7738925499685433,,
289,laughter,1 - NGSL,22642,0.00033678872235846946,0.7742293386909017,,
290,least,1 - NGSL,22459,0.000334066686487451,0.7745634053773892,,
291,hold,1 - NGSL,22339,0.0003322817449326848,0.7748956871223219,,
292,sense,1 - NGSL,22203,0.00033025881117061646,0.7752259459334926,,
293,member,1 - NGSL,22095,0.00032865236377132683,0.7755545982972639,,
294,morning,1 - NGSL,22042,0.00032786401458463843,0.7758824623118485,,
295,hand,1 - NGSL,22025,0.0003276111478643799,0.7762100734597129,,
296,friend,1 - NGSL,21980,0.0003269417947813426,0.7765370152544943,,
297,somebody,1 - NGSL,21980,0.0003269417947813426,0.7768639570492756,,
298,watch,1 - NGSL,21941,0.0003263616887760436,0.7771903187380517,,
299,continue,1 - NGSL,21921,0.00032606419851691584,0.7775163829365686,,
300,already,1 - NGSL,21892,0.0003256328376411807,0.7778420157742097,,
301,example,1 - NGSL,21879,0.0003254394689727477,0.7781674552431825,,
302,send,1 - NGSL,21875,0.00032537997092092216,0.7784928352141035,,
303,once,1 - NGSL,21803,0.0003243090059880624,0.7788171442200915,,
304,stop,1 - NGSL,21755,0.00032359502936615597,0.7791407392494577,,
305,couple,1 - NGSL,21644,0.0003219439584279972,0.7794626832078857,,
306,community,1 - NGSL,21512,0.00031998052271775437,0.7797826637306035,,
307,guess,1 - NGSL,21490,0.0003196532834327139,0.7801023170140362,,
308,small,1 - NGSL,21247,0.00031603877678431237,0.7804183557908205,,
309,nothing,1 - NGSL,21054,0.00031316799578373004,0.7807315237866043,,
310,concern,1 - NGSL,20964,0.0003118292896176554,0.781043353076222,,
311,stay,1 - NGSL,20948,0.00031159129741035324,0.7813549443736323,,
312,force,1 - NGSL,20945,0.0003115466738714841,0.7816664910475037,,
313,market,1 - NGSL,20908,0.00031099631689209786,0.7819774873643959,,
314,lead,1 - NGSL,20783,0.00030913700277254973,0.7822866243671684,,
315,campaign,1 - NGSL,20738,0.0003084676496895124,0.782595092016858,,
316,exactly,1 - NGSL,20674,0.00030751568086030375,0.7829026076977182,,
317,head,1 - NGSL,20627,0.00030681657875135366,0.7832094242764696,,
318,yet,1 - NGSL,20625,0.0003067868297254409,0.783516211106195,,
319,past,1 - NGSL,20609,0.00030654883751813874,0.7838227599437131,,
320,must,1 - NGSL,20587,0.0003062215982330983,0.7841289815419462,,
321,someone,1 - NGSL,20419,0.0003037226800564256,0.7844327042220026,,
322,top,1 - NGSL,20316,0.0003021906052219179,0.7847348948272246,,
323,include,1 - NGSL,20283,0.0003016997462943572,0.7850365945735189,,
324,break,1 - NGSL,20256,0.0003012981344445348,0.7853378927079635,,
325,whatever,1 - NGSL,20222,0.00030079240100401773,0.7856386851089675,,
326,law,1 - NGSL,20163,0.000299914804739591,0.7859385999137071,,
327,record,1 - NGSL,20148,0.00029969168704524523,0.7862382916007523,,
328,until,1 - NGSL,20147,0.00029967681253228887,0.7865379684132846,,
329,nation,1 - NGSL,20099,0.00029896283591038236,0.786836931249195,,
330,expect,1 - NGSL,19989,0.00029732663948518,0.7871342578886802,,
331,matter,1 - NGSL,19909,0.0002961366784486692,0.7874303945671288,,
332,information,1 - NGSL,19876,0.0002956458195211085,0.78772604038665,,
333,without,1 - NGSL,19858,0.0002953780782878936,0.7880214184649379,,
334,listen,1 - NGSL,19786,0.00029430711335503386,0.7883157255782929,,
335,learn,1 - NGSL,19763,0.000293964999557037,0.7886096905778499,,
336,party,1 - NGSL,19683,0.0002927750385205262,0.7889024656163705,,
337,large,1 - NGSL,19665,0.00029250729728731126,0.7891949729136578,,
338,level,1 - NGSL,19648,0.00029225443056705275,0.7894872273442248,,
339,process,1 - NGSL,19564,0.0002910049714787164,0.7897782323157035,,
340,answer,1 - NGSL,19487,0.00028985963398107473,0.7900680919496846,,
341,during,1 - NGSL,19179,0.00028527828399050817,0.7903533702336751,,
342,stand,1 - NGSL,19147,0.0002848022995759038,0.7906381725332511,,
343,almost,1 - NGSL,19144,0.0002847576760370347,0.7909229302092882,,
344,agree,1 - NGSL,19116,0.0002843411896742559,0.7912072713989624,,
